"Average price of unleaded petrol (91 octane) and diesel, cents per litre",,
,Daily average price of diesel (Cents per litre),Daily average price of ULP (Cents per litre)
Jun-20,123.368,110.492
Sep-20,120.901,123.341
Dec-20,121.05,126.93
Mar-21,135.86,152.74
Jun-21,143.61,159.02
Sep-21,153.47,154.14
Dec-21,164.13,160.05
Mar-22,213.32,188.98
Jun-22,235.92,211.24
Sep-22,205.97,184.48
Dec-22,208.22,184.23
Mar-23,193.82,184.77
Jun-23,180.56,172.18
,,
"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023",,
